offset,offset_hex,length,text,population_term,string_class
158477,0x26B0D,23,dlc_mtp_zombieDebris01x,,unknown
158506,0x26B2A,21,dlc_mtp_zombieFire01x,,unknown
158533,0x26B45,23,dlc_nos_zombieDebris01x,,unknown
158562,0x26B62,21,dlc_nos_zombieFire01x,,unknown
158589,0x26B7D,23,dlc_pik_zombieDebris01x,,unknown
158618,0x26B9A,21,dlc_pik_zombieFire01x,,unknown
158645,0x26BB5,23,dlc_pln_zombieDebris01x,,unknown
158674,0x26BD2,21,dlc_pln_zombieFire01x,,unknown
158701,0x26BED,23,dlc_ram_zombieDebris01x,,unknown
158730,0x26C0A,21,dlc_ram_zombieFire01x,,unknown
158757,0x26C25,23,dlc_rat_zombieDebris01x,,unknown
158786,0x26C42,21,dlc_rat_zombieFire01x,,unknown
158813,0x26C5D,23,dlc_rwf_zombieDebris01x,,unknown
158842,0x26C7A,21,dlc_rwf_zombieFire01x,,unknown
158869,0x26C95,23,dlc_sol_zombieDebris01x,,unknown
158898,0x26CB2,21,dlc_sol_zombieFire01x,,unknown
158925,0x26CCD,23,dlc_tes_zombieDebris01x,,unknown
158954,0x26CEA,21,dlc_tes_zombieFire01x,,unknown
158981,0x26D05,23,dlc_thi_zombieDebris01x,,unknown
159010,0x26D22,21,dlc_thi_zombieFire01x,,unknown
159037,0x26D3D,23,dlc_tor_zombieDebris01x,,unknown
159066,0x26D5A,21,dlc_tor_zombieFire01x,,unknown
159093,0x26D75,23,dlc_twr_zombieDebris01x,,unknown
159122,0x26D92,21,dlc_twr_zombieFire01x,,unknown
159149,0x26DAD,23,dlc_upr_zombieDebris01x,,unknown
159178,0x26DCA,21,dlc_upr_zombieFire01x,,unknown
159205,0x26DE5,23,dlc_ven_zombieDebris01x,,unknown
159234,0x26E02,21,dlc_ven_zombieFire01x,,unknown
159261,0x26E1D,23,dlc_war_zombieDebris01x,,unknown
159290,0x26E3A,21,dlc_war_zombieFire01x,,unknown
159317,0x26E55,20,dlc_blk_flagsTorn01x,,unknown
159343,0x26E6F,20,dlc_hen_flagsTorn01x,,unknown
159369,0x26E89,28,dlc_arm_generalStoreProps01x,,unknown
159403,0x26EAB,24,arm_generalStoreProps01x,,unknown
159433,0x26EC9,24,dlc_arm_saloon01props01x,,unknown
159463,0x26EE7,20,arm_saloon01props01x,,unknown
159489,0x26F01,20,dlc_beh_catacombs01x,,unknown
159515,0x26F1B,27,dlc_beh_catacombs01props01x,,unknown
159546,0x26F3A,35,"o""rsdGPSTRAIL_curve361rebuiltCurve1",,unknown
159597,0x26F6D,20,rsdGPSTRAIL_curve427,,unknown
159631,0x26F8F,35,"o""rsdGPSTRAIL_curve366rebuiltCurve1",,unknown
159682,0x26FC2,20,rsdGPSTRAIL_curve404,,unknown
159718,0x26FE6,20,rsdGPSTRAIL_curve394,,unknown
159754,0x2700A,20,rsdGPSTRAIL_curve104,,unknown
159790,0x2702E,20,rsdGPSTRAIL_curve454,,unknown
159824,0x27050,37,o$rsdTRAIL_cas_ram_pathdetachedCurve2,,unknown
159874,0x27082,51,o2rsdTRAIL_cas_ram_pathdetachedCurve4detachedCurve2,,unknown
159938,0x270C2,35,"o""rsdGPSTRAIL_curve159rebuiltCurve1",,unknown
